date	price	vol_1	vol_2
2014-04-23	109.11	181744	69987
2014-04-24	110.33	215429	77795
2014-04-25	109.58	216211	95062
2014-04-28	108.12	246467	131075
2014-04-29	108.98	206500	123253
2014-04-30	108.07	213559	97921
2014-05-01	107.76	186877	98246
2014-05-02	108.59	215151	128067
2014-05-05	107.72	139534	77954
2014-05-06	107.06	194542	131496
2014-05-07	108.13	217143	191634
2014-05-08	108.04	163879	158425
2014-05-09	107.89	179226	180914
2014-05-12	108.41	145648	169466
2014-05-13	109.24	130635	207629
2014-05-14	110.19	115257	258580
2014-05-15	110.44	20368	222800
2014-05-16	109.75	229928	160162
2014-05-19	109.37	171705	86689
2014-05-20	109.69	172785	78342
2014-05-21	110.55	219999	123214
2014-05-22	110.36	200094	124016
2014-05-23	110.54	143657	84901
2014-05-26	110.32	29309	9289
2014-05-27	110.02	173412	96458
2014-05-28	109.81	175307	106238
2014-05-29	109.97	174684	102708
2014-05-30	109.41	175046	96732
2014-06-02	108.83	194247	132259
2014-06-03	108.82	177672	144810
2014-06-04	108.4	211086	167922
2014-06-05	108.79	193325	156260
2014-06-06	108.61	155003	156157
2014-06-09	109.99	189210	199593
2014-06-10	109.52	214916	248636
2014-06-11	109.95	131570	203111
2014-06-12	113.02	133073	378468
2014-06-13	113.41	16054	292966
2014-06-16	112.94	175895	107216
2014-06-17	113.45	240515	130060
2014-06-18	114.26	240752	121612
2014-06-19	115.06	250241	111322
2014-06-20	114.81	198840	122484
2014-06-23	114.12	220720	166029
2014-06-24	114.46	230490	179787
2014-06-25	114	211906	126177
2014-06-26	113.21	180862	116592
2014-06-27	113.3	135705	75260
2014-06-30	112.36	221843	171010
2014-07-01	112.29	229188	203676
2014-07-02	111.24	269764	254536
2014-07-03	111	218983	230671
2014-07-04	110.64	71846	67482
2014-07-07	110.24	152507	147613
2014-07-08	108.94	232726	262380
2014-07-09	108.28	173181	220325
2014-07-10	108.67	152467	254102
2014-07-11	106.66	171039	356173
2014-07-14	106.98	99201	299036
2014-07-15	106.02	63860	385016
2014-07-16	105.85	11523	304944
2014-07-17	107.89	296510	153098
2014-07-18	107.24	210876	102764
2014-07-21	107.68	211696	121376
2014-07-22	107.33	183102	100727
2014-07-23	108.03	207150	112148
2014-07-24	107.07	179569	89079
2014-07-25	108.39	253169	119423
2014-07-28	107.57	139522	65357
2014-07-29	107.72	176638	92054
2014-07-30	106.51	218385	131502
2014-07-31	106.02	234552	139493
2014-08-01	104.84	216356	147257
2014-08-04	105.41	207792	150486
2014-08-05	104.61	209177	170633
2014-08-06	104.59	204924	206234
2014-08-07	105.44	189819	192414
2014-08-08	105.02	203740	200917
2014-08-11	104.68	143613	165902
2014-08-12	103.02	139912	277356
2014-08-13	104.28	99102	312682
2014-08-14	102.01	18568	301854
2014-08-15	103.53	199628	83681
2014-08-18	101.6	181098	93060
2014-08-19	101.56	177096	92995
2014-08-20	102.28	166194	78094
2014-08-21	102.63	179611	90574
2014-08-22	102.29	132505	65349
2014-08-25	102.65	82942	31552
2014-08-26	102.5	149825	78207
2014-08-27	102.72	146234	77071
2014-08-28	102.46	184780	94579
2014-08-29	103.19	169325	114759
2014-09-01	102.79	73330	49680
2014-09-02	100.34	243851	147038
2014-09-03	102.77	233643	135238
2014-09-04	101.83	218441	159671
2014-09-05	100.82	202144	155791
2014-09-08	100.2	197607	160665
2014-09-09	99.16	172503	167592
2014-09-10	98.04	203275	215317
2014-09-11	98.08	144789	231266
2014-09-12	97.11	103485	224474
2014-09-15	96.65	19954	193491
2014-09-16	99.05	199768	149896
2014-09-17	98.97	190165	155105
2014-09-18	97.7	193584	151057
2014-09-19	98.39	158385	108296
2014-09-22	96.97	171138	127359
2014-09-23	96.85	192360	168587
2014-09-24	96.95	216742	168367
2014-09-25	97	190331	140440
2014-09-26	97	165598	115928
2014-09-29	97.2	170225	130369
2014-09-30	94.67	261952	204075
2014-10-01	94.16	247985	204293
2014-10-02	93.42	285902	208983
2014-10-03	92.31	239603	196959
2014-10-06	92.79	203600	190251
2014-10-07	92.11	222631	250827
2014-10-08	91.38	207633	269128
2014-10-09	90.05	216473	295251
2014-10-10	90.21	197676	304318
2014-10-13	88.89	146533	279798
2014-10-14	85.04	141657	416860
2014-10-15	83.78	86478	434885
2014-10-16	84.47	14938	430684
2014-10-17	86.16	280473	90724
2014-10-20	85.4	247595	86369
2014-10-21	86.22	258394	117317
2014-10-22	84.71	264812	92321
2014-10-23	86.83	306978	121964
2014-10-24	86.13	208221	76163
2014-10-27	85.83	228430	90900
2014-10-28	86.03	198834	101634
2014-10-29	87.12	243747	111230
2014-10-30	86.24	191858	89460
2014-10-31	85.86	225365	111849
2014-11-03	84.78	248166	125254
2014-11-04	82.82	313674	168336
2014-11-05	82.95	364449	214232
2014-11-06	82.86	224783	150897
2014-11-07	83.39	195440	147143
2014-11-10	82.34	219905	191493
2014-11-11	81.67	213423	273890
2014-11-12	80.38	116121	269319
2014-11-13	77.92	21787	347461
2014-11-14	79.41	267611	109944
2014-11-17	79.31	189076	57761
2014-11-18	78.47	209549	75767
2014-11-19	78.1	247154	132315
2014-11-20	79.33	206376	95984
2014-11-21	80.36	264605	115535
2014-11-24	79.68	151150	67990
2014-11-25	78.33	256827	124186
2014-11-26	77.75	202194	81020
2014-11-27	72.58	244649	96023
2014-11-28	70.15	262029	113007
2014-12-01	72.54	369850	172821
2014-12-02	70.54	252522	115329
2014-12-03	69.92	244860	150041
2014-12-04	69.64	190550	117394
2014-12-05	69.07	196036	140997
2014-12-08	66.19	191666	137142
2014-12-09	66.84	190516	155821
2014-12-10	64.24	249642	200468
2014-12-11	63.68	185627	183542
2014-12-12	61.85	153892	216699
2014-12-15	61.06	107893	258141
2014-12-16	59.86	19698	351493
2014-12-17	61.18	304053	117592
2014-12-18	59.27	294885	113867
2014-12-19	61.38	222067	76264
2014-12-22	60.11	195794	93370
2014-12-23	61.69	159862	59619
2014-12-24	60.24	108671	36270
2014-12-26	59.45	48782	13431
2014-12-29	57.88	155113	62437
2014-12-30	57.9	154112	72392
2014-12-31	57.33	148140	67589
2015-01-02	56.42	177976	79883
2015-01-05	53.11	289889	189091
2015-01-06	51.1	338881	244287
2015-01-07	51.15	318275	250471
2015-01-08	50.96	243424	220316
2015-01-09	50.11	285716	300479
2015-01-12	47.43	223924	291126
2015-01-13	46.59	208057	400976
2015-01-14	48.69	122335	411296
2015-01-15	47.67	17933	448066
2015-01-16	50.17	293492	96580
2015-01-19	48.84	106771	38444
2015-01-20	47.99	259584	108801
2015-01-21	49.03	268649	116113
2015-01-22	48.52	321470	111570
2015-01-23	48.79	245343	109643
2015-01-26	48.16	241380	98376
2015-01-27	49.6	249568	107567
2015-01-28	48.47	275153	151159
2015-01-29	49.13	236631	133674
2015-01-30	52.99	335018	176657
2015-02-02	54.75	402067	211577
2015-02-03	57.91	414587	264242
2015-02-04	54.16	359736	224731
2015-02-05	56.57	338815	236907
2015-02-06	57.8	253313	190948
2015-02-09	58.34	213518	204354
2015-02-10	56.43	157173	231892
2015-02-11	54.66	116807	291699
2015-02-12	57.05	16211	371561
2015-02-13	61.52	348801	180131
2015-02-16	61.4	171270	120463
2015-02-17	62.53	277965	140830
2015-02-18	60.53	224099	95100
2015-02-19	60.21	303861	142631
2015-02-20	60.22	221755	125659
2015-02-23	58.9	268638	145660
2015-02-24	58.66	245522	135743
2015-02-25	61.63	279648	133814
2015-02-26	60.05	261445	135915
2015-02-27	62.58	255020	145228
2015-03-02	59.54	286074	173291
2015-03-03	61.02	281782	167299
2015-03-04	60.55	260537	162982
2015-03-05	60.48	215120	177542
2015-03-06	59.73	181482	160563
2015-03-09	58.53	194778	194228
2015-03-10	56.39	191782	197285
2015-03-11	57.54	176057	228623
2015-03-12	57.08	129734	270011
2015-03-13	54.67	84085	276362
2015-03-16	53.44	15638	283903
